NAMESPACE              NAME                                                              READY   STATUS             RESTARTS   AGE
ams                    ams-api-dc2-6d7f6fc486-7v66s                                      0/1     Terminating        0          45m
ams                    ams-api-dc2-6d7f6fc486-jrm8d                                      1/1     Terminating        4          8d
ams                    ams-api-dc2-6d7f6fc486-z4h6d                                      0/1     Pending            0          40m
ams                    ams-data-dc2-789bc9d7d6-5p9j2                                     0/1     Pending            0          40m
ams                    ams-data-dc2-789bc9d7d6-k6rgg                                     1/1     Terminating        1          8d
ams                    ams-data-dc2-789bc9d7d6-qlctp                                     0/1     Terminating        0          47m
ams                    ams-data-dc2-789bc9d7d6-tdjtv                                     0/1     Terminating        0          45m
ams                    ams-ui-dc2-965975864-2zv87                                        1/1     Terminating        0          47m
ams                    ams-ui-dc2-965975864-4cbcl                                        0/1     Pending            0          40m
ams                    ams-ui-dc2-965975864-sf4gh                                        1/1     Terminating        1          8d
default                ravencast-demo-client-dd77cdc9c-tq4p2                             0/1     CrashLoopBackOff   12         39m
default                ravencast-demo-client-dd77cdc9c-vslnt                             1/1     Terminating        1          6d
default                ravencast-demo-server-68995bd46c-k2rfg                            1/1     Terminating        1          6d
elk                    autocreate-kibana-pattern-1642132200-jh7xm                        0/1     Completed          0          5m17s
elk                    autodelete-es-index-pattern-1642132200-9sn4z                      0/1     Completed          0          5m17s
elk                    gaussdb-alarm-logstash-6989fff477-84ncg                           0/1     Pending            0          35m
elk                    gaussdb-alarm-logstash-6989fff477-xrc9v                           1/1     Terminating        1          8d
elk                    gaussdb-check-logstash-59bf4c6c97-6xflk                           1/1     Terminating        1          8d
elk                    gaussdb-check-logstash-59bf4c6c97-8dq9m                           0/1     Pending            0          35m
elk                    kafka-manager-7786846fd5-npxhq                                    1/1     Terminating        1          6d20h
elk                    kibana-84c9dfbc7c-zsgf9                                           1/1     Terminating        1          6d1h
elk                    logstash-59dc94bc9c-4szzp                                         1/1     Terminating        0          48m
elk                    logstash-59dc94bc9c-648rk                                         1/1     Terminating        0          48m
elk                    logstash-59dc94bc9c-c6hqn                                         1/1     Terminating        0          61m
elk                    logstash-59dc94bc9c-dgzz4                                         1/1     Terminating        0          44h
elk                    logstash-59dc94bc9c-p56f7                                         0/1     Terminating        0          48m
elk                    logstash-59dc94bc9c-pmlzs                                         1/1     Terminating        1          6d20h
elk                    logstash-59dc94bc9c-stpgc                                         1/1     Terminating        0          61m
elk                    logstash-59dc94bc9c-vfr86                                         1/1     Terminating        1          6d20h
gaussdb-monitoring     autocreate-kibana-pattern-1642132200-6cbdf                        0/1     Completed          0          5m17s
gaussdb-monitoring     monitor-server-fc9cbc55f-6bvwr                                    1/2     Terminating        2          47m
gaussdb-monitoring     monitor-server-fc9cbc55f-dv99z                                    2/2     Terminating        7          8d
gaussdb-monitoring     monitor-server-fc9cbc55f-k4s7x                                    0/2     Pending            0          39m
kube-system            coredns-6b488cb87c-hzjh9                                          1/1     Terminating        1          6d1h
kube-system            metrics-server-67849b886b-dxp4d                                   1/1     Terminating        1          44h
monitoring             alertmanager-main-2                                               2/2     Terminating        7          8d
monitoring             blackbox-c84bc74db-5xd4f                                          0/1     Pending            0          35m
monitoring             blackbox-c84bc74db-wm6dh                                          1/1     Terminating        1          8d
monitoring             prometheus-adapter-7f8db998c8-f475g                               1/1     Terminating        2          6d
plantu                 plantu-batch-2-6cdff4b6cc-2w46m                                   1/2     Terminating        0          47m
plantu                 plantu-batch-2-6cdff4b6cc-lww89                                   1/2     Terminating        0          45m
plantu                 plantu-batch-2-6cdff4b6cc-ntqpk                                   2/2     Terminating        0          44h
plantu                 plantu-batch-2-6cdff4b6cc-nwzzm                                   0/2     Pending            0          39m
plantu                 plantu-eis-2-68fc9f87dd-6jh5q                                     0/2     Pending            0          40m
plantu                 plantu-eis-2-68fc9f87dd-grbqf                                     2/2     Terminating        0          47m
plantu                 plantu-eis-2-68fc9f87dd-km4bb                                     2/2     Terminating        0          44h
plantu                 plantu-eis-2-68fc9f87dd-mrl5d                                     0/2     Terminating        0          48m
plantu                 plantu-eis-4-5db5b767d9-f799q                                     2/2     Terminating        0          47m
plantu                 plantu-eis-4-5db5b767d9-gp2pt                                     0/2     Pending            0          39m
plantu                 plantu-eis-4-5db5b767d9-ldkcf                                     2/2     Terminating        9          8d
plantu                 plantu-eis-pirun-c476f6499-4bgwk                                  2/2     Terminating        0          47m
plantu                 plantu-eis-pirun-c476f6499-jsmgz                                  0/2     Pending            0          40m
plantu                 plantu-eis-pirun-c476f6499-k4nc4                                  2/2     Terminating        8          8d
plantu                 plantu-mes-2-7fd78f5b88-2kr8n                                     0/2     Terminating        0          48m
plantu                 plantu-mes-2-7fd78f5b88-cv4nz                                     1/2     Terminating        0          47m
plantu                 plantu-mes-2-7fd78f5b88-dpt7f                                     0/2     Pending            0          40m
plantu                 plantu-mes-2-7fd78f5b88-jtg25                                     0/2     Terminating        0          45m
plantu                 plantu-mes-2-7fd78f5b88-xr9pg                                     2/2     Terminating        0          44h
rms                    rms-server-dc2-cd65c4b76-56r9b                                    0/1     Pending            0          40m
rms                    rms-server-dc2-cd65c4b76-j97tw                                    1/1     Terminating        0          45h
rms                    rms-ui-dc2-65564dd97f-gtzr8                                       0/1     Pending            0          34m
rms                    rms-ui-dc2-65564dd97f-xhj5t                                       1/1     Terminating        7          8d
rtd                    rtd-ruleengine-dc2-6f86d7769d-5vxnz                               0/1     Terminating        0          45m
rtd                    rtd-ruleengine-dc2-6f86d7769d-6z4zr                               0/1     Pending            0          39m
rtd                    rtd-ruleengine-dc2-6f86d7769d-95c65                               1/1     Terminating        0          47m
rtd                    rtd-ruleengine-dc2-6f86d7769d-f7bhh                               0/1     Terminating        0          47m
rtd                    rtd-ruleengine-dc2-6f86d7769d-h5fzk                               0/1     Pending            0          39m
rtd                    rtd-ruleengine-dc2-6f86d7769d-kvc6w                               0/1     Pending            0          40m
rtd                    rtd-ruleengine-dc2-6f86d7769d-lhf9g                               0/1     Terminating        0          48m
rtd                    rtd-ruleengine-dc2-6f86d7769d-nqp5b                               1/1     Terminating        0          43h
rtd                    rtd-ruleengine-dc2-6f86d7769d-qrfgv                               1/1     Terminating        0          43h
rtd                    rtd-ruleengine-dc2-6f86d7769d-rbszb                               0/1     Terminating        0          45m
rtd                    rtd-ruleengine-dc2-6f86d7769d-s4rpl                               1/1     Terminating        0          43h
rtd                    rtd-ruleengine-dc2-6f86d7769d-v5p2r                               0/1     Terminating        0          48m
rtd                    rtd-ruleengine-dc2-6f86d7769d-wpp4c                               0/1     Pending            0          40m
rtd                    rtd-ruleengine-dc2-6f86d7769d-x67zp                               1/1     Terminating        0          19h
rtd                    rtd-web-dc2-7d646d8ff-5kl4l                                       0/1     Pending            0          40m
rtd                    rtd-web-dc2-7d646d8ff-9dwx2                                       1/1     Terminating        0          19h
rtd                    rtd-web-dc2-7d646d8ff-9mdll                                       1/1     Terminating        0          47m
rtd                    rtd-web-dc2-7d646d8ff-jjtjs                                       0/1     Pending            0          39m
rtd                    rtd-web-dc2-7d646d8ff-mz94g                                       0/1     Terminating        0          45m
rtd                    rtd-web-dc2-7d646d8ff-sczfm                                       1/1     Terminating        0          43h
rtd                    rtd-workflow-dc2-54f8fc8f99-hz4zv                                 0/1     Pending            0          40m
rtd                    rtd-workflow-dc2-54f8fc8f99-kwbnn                                 0/1     Terminating        0          45m
rtd                    rtd-workflow-dc2-54f8fc8f99-lhtbv                                 1/1     Terminating        0          43h
rtd                    rtd-workflow-dc2-54f8fc8f99-prqz4                                 0/1     Pending            0          39m
rtd                    rtd-workflow-dc2-54f8fc8f99-rsfs2                                 1/1     Terminating        0          19h
rtd                    rtd-zookeeper-1                                                   1/1     Terminating        0          43h
spc                    spc-calc-service-dc2-66bb4d4bf4-662d2                             0/1     Terminating        0          45m
spc                    spc-calc-service-dc2-66bb4d4bf4-8mc7x                             0/1     Terminating        0          17h
spc                    spc-calc-service-dc2-66bb4d4bf4-b27qk                             0/1     Pending            0          39m
spc                    spc-calc-service-dc2-66bb4d4bf4-c4mqb                             1/1     Terminating        0          17h
spc                    spc-calc-service-dc2-66bb4d4bf4-f5dtf                             0/1     Terminating        2          48m
spc                    spc-calc-service-dc2-66bb4d4bf4-j7smb                             0/1     Terminating        3          47m
spc                    spc-calc-service-dc2-66bb4d4bf4-pcq2m                             0/1     Terminating        0          48m
spc                    spc-calc-service-dc2-66bb4d4bf4-qx765                             0/1     Pending            0          39m
